"W_HB_W_All","v0",0.00,0.00,0.00,61.5181,17.8331,20.6488,0.00
"W_HB_W_All","ilvi",69.6069,10.2272,6.17331,2.34424,2.08988,9.5585,0.00
"W_HB_W_All","ilvs",90.3302,5.48602,1.3724,1.74743,0.0233805,1.04061,0.00
"W_HB_W_All","ihvi",78.8083,7.58772,5.44702,2.04554,1.04863,5.06275,0.00
"W_HB_W_All","ihvs",93.6918,3.62518,1.04597,0.303374,0.0514256,1.28225,0.00
"W_HB_O_All","v0",0.00,0.00,0.00,48.7424,0.00,51.2576,0.00
"W_HB_O_All","vi",56.5384,17.3088,19.6291,2.17345,0.00,4.35025,0.00
"W_HB_O_All","vs",72.6537,16.5859,9.52722,0.118579,0.0834277,1.03118,0.00
"N_HB_OME_All","v0",0.00,0.00,0.00,28.1276,11.0163,60.8562,0.00
"N_HB_OME_All","vi",30.3563,34.1093,29.8699,0.479116,0.856863,4.32862,0.00
"N_HB_OME_All","vs",50.1319,28.8246,18.7515,0.0946313,0.227274,1.97005,0.00
"N_HB_OMED_All","v0",0.00,0.00,0.00,27.5364,12.2275,60.2362,0.00
"N_HB_OMED_All","vi",26.6472,41.5565,20.2728,2.4327,7.16948,1.92124,0.00
"N_HB_OMED_All","vs",51.316,32.0726,13.8634,0.227787,0.987261,1.53293,0.00
"N_HB_OD_Long","v0",0.00,0.00,0.00,35.2069,12.3711,52.422,0.00
"N_HB_OD_Long","vi",32.511,27.9958,24.6503,5.401,1.30702,8.13481,0.00
"N_HB_OD_Long","vs",45.0437,24.433,25.5046,0.574756,0.17801,4.26588,0.00
"N_HB_OD_Short","v0",0.00,0.00,0.00,77.0819,0.00,22.9181,0.00
"N_HB_OD_Short","vi",29.9737,27.5231,38.7399,2.10242,0.0489049,1.612,0.00
"N_HB_OD_Short","vs",44.4865,30.4395,23.6387,0.202291,0.285672,0.947295,0.00
"N_HB_K12_All","v0",0.00,0.00,0.00,20.227,0.00,8.82129,70.9517
"N_HB_K12_All","vi",14.0425,19.9931,31.0843,2.15582,0.00,5.676,27.0483
"N_HB_K12_All","vs",18.3874,24.575,31.2829,0.328224,0.00,4.84123,20.5852
