EstDataID,personid,hhid,HomeTAZ,o_taz,d_taz,a_taz,mode_final,HHIncomeMP,AvgIncPerWorker,LowIncome,Home_Cluster,O_Cluster,D_Cluster,Segment,tod,ZeroAutoHH,trip_weight,hh_weight
143,1610021401,16100214,2105,2105,2327,2327,hov2,37500,37500,1,3,3,3,ilvs,AM,0,126.893333435059,97.61025
201,1610029402,16100294,1923,1923,2908,2908,hov2,125000,62500,1,84,84,84,ihvs,NT,0,101.263893127441,74.186
639,1610123001,16101230,2477,2486,2477,2486,hov2,87500,43750,1,2,2,2,ihvs,NT,0,414.301208496094,353.19796
1000,1610193201,16101932,1028,1043,1028,1043,hov3,200000,100000,0,83,83,83,ihvs,PM,0,132.638458251953,97.17104
1040,1610208601,16102086,2733,2733,2741,2741,hov3,37500,37500,1,82,82,82,ilvs,AM,0,148.570785522461,114.28522
1075,1610211302,16102113,2942,2928,2942,2928,hov3,87500,87500,0,81,81,81,ihvs,PM,0,334.859832763672,347.72567
2285,1610479201,16104792,2314,2314,2327,2327,hov2,200000,100000,0,3,3,3,ihvs,AM,0,132.638458251953,97.17104
2291,1610479202,16104792,2314,2314,2279,2279,hov2,200000,100000,0,3,3,3,ihvs,AM,0,132.638458251953,97.17104
2319,1610487701,16104877,1088,1088,1034,1034,hov2,125000,62500,1,83,83,83,ihvs,AM,0,172.914352416992,126.67718
2326,1610487702,16104877,1088,1088,1041,1041,hov2,125000,62500,1,83,83,83,ihvs,AM,0,172.914352416992,126.67718
2369,1610493901,16104939,1007,995,1007,995,hov2,37500,18750,1,83,83,83,ilvs,PM,0,397.474792480469,384.03363
2379,1610495101,16104951,482,482,623,623,hov2,200000,100000,0,7,7,7,ihvs,AM,0,269.326751708984,223.04492
2668,1610565301,16105653,3,3,2,2,hov3,200000,200000,0,84,84,84,ihvs,AM,0,59.1221656799316,50.53176
2716,1610578702,16105787,2421,2421,3093,3093,hov2,200000,100000,0,7,7,NA,ihvs,AM,0,98.3195953369141,72.02901
3076,1610676002,16106760,2031,2031,2033,2033,hov3,125000,62500,1,3,3,3,ihvs,AM,0,101.263893127441,74.186
3115,1610681101,16106811,970,951,970,951,hov2,125000,62500,1,83,83,83,ihvs,PM,0,315.170959472656,261.01116
3364,1610726901,16107269,127,127,120,120,hov2,200000,100000,0,5,5,5,ihvs,AM,0,44.3225860595703,32.47076
3368,1610726901,16107269,127,127,127,127,hov3,200000,100000,0,5,5,5,ihvs,PM,0,44.3225860595703,32.47076
3523,1610763401,16107634,2752,2752,2564,2564,hov3,125000,62500,1,82,82,2,ihvs,AM,0,101.263893127441,74.186
3557,1610766001,16107660,477,477,623,623,hov3,200000,100000,0,7,7,7,ihvs,AM,0,269.326751708984,223.04492
3564,1610766002,16107660,477,623,477,623,hov3,200000,100000,0,7,7,7,ihvs,PM,0,304.456298828125,223.04492
3578,1610772501,16107725,1649,1645,1649,1645,hov3,87500,43750,1,2,2,2,ihvs,PM,0,88.8094711303711,66.97547
3573,1610772501,16107725,1649,1649,3038,3038,hov3,87500,43750,1,2,2,2,ihvs,AM,0,88.8094711303711,66.97547
3581,1610772502,16107725,1649,1649,1645,1645,hov3,87500,43750,1,2,2,2,ihvs,AM,0,88.8094711303711,66.97547
3908,1610829802,16108298,3087,1255,3087,1255,hov2,125000,62500,1,81,81,81,ihvi,PM,0,96.0660247802734,70.37804
3971,1610845502,16108455,1328,1328,1323,1323,hov2,200000,100000,0,6,6,6,ihvs,AM,0,212.426559448242,155.62386
4248,1610891301,16108913,2771,2771,2768,2768,hov3,200000,100000,0,82,82,82,ihvs,AM,0,120.352828979492,88.17057
4459,1610926601,16109266,1689,1689,1525,1525,hov2,200000,100000,0,2,2,2,ihvs,AM,0,273.554962158203,226.54656
4524,1610936301,16109363,2767,2767,2768,2768,hov3,62500,31250,1,82,82,82,ilvs,NT,0,169.959899902344,128.17489
4528,1610936302,16109363,2767,2767,2768,2768,hov3,62500,31250,1,82,82,82,ilvs,NT,0,169.959899902344,128.17489
4657,1610956601,16109566,2458,2458,2457,2457,hov2,37500,37500,1,2,2,2,ilvs,AM,0,353.055786132813,307.00502
4742,1610964101,16109641,1264,1264,NA,NA,hov2,87500,43750,1,81,81,NA,ihvs,AM,0,141.50505065918,106.71573
5006,1611016502,16110165,1187,1187,1194,1194,hov3,125000,62500,1,81,81,81,ihvs,AM,0,96.0660247802734,70.37804
5271,1611060401,16110604,2355,2355,2350,2350,hov3,87500,43750,1,3,3,3,ihvs,AM,0,132.667175292969,97.19207
5275,1611060402,16110604,2355,2355,2373,2373,hov2,87500,43750,1,3,3,3,ihvs,AM,0,132.667175292969,97.19207
5327,1611073602,16110736,2043,2043,2335,2335,hov3,125000,125000,0,3,3,3,ihvi,AM,0,65.5191650390625,47.99939
5421,1611105501,16111055,2042,2042,1955,1955,hov3,125000,62500,1,84,84,84,ihvs,AM,0,101.263893127441,74.186
5494,1611118101,16111181,2470,2470,2581,2581,hov2,200000,100000,0,2,2,82,ihvs,AM,0,98.3195953369141,72.02901
5574,1611129001,16111290,2087,2097,2087,2097,hov2,200000,66666.66666666667,1,7,3,7,ihvs,PM,0,567.989929199219,470.38503
5712,1611167701,16111677,2438,2438,2426,2426,hov3,37500,18750,1,2,2,2,ilvi,AM,0,685.306457519531,595.91868
5839,1611192001,16111920,1513,1513,1512,1512,hov2,200000,100000,0,2,2,2,ihvs,AM,0,120.352828979492,88.17057
5842,1611192002,16111920,1513,1513,1513,1513,hov2,200000,100000,0,2,2,2,ihvs,AM,0,120.352828979492,88.17057
5848,1611192002,16111920,1513,1512,1513,1512,hov3,200000,100000,0,2,2,2,ihvs,PM,0,120.352828979492,88.17057
6261,1611260302,16112603,2422,2422,3093,3093,hov2,125000,62500,1,7,7,NA,ihvs,AM,0,82.7253112792969,60.60462
6427,1611292201,16112922,396,396,402,402,hov3,200000,100000,0,5,5,5,ihvs,AM,0,82.1579437255859,60.18897
6439,1611292202,16112922,396,396,402,402,hov3,200000,100000,0,5,5,5,ihvs,AM,0,72.6781845092773,60.18897
6889,1611374701,16113747,2192,2192,3064,3064,hov3,200000,100000,0,3,3,2,ihvs,AM,0,376.030364990234,363.31437
6898,1611374702,16113747,2192,3064,2192,3064,hov3,200000,100000,0,3,2,3,ihvs,MD,0,376.030364990234,363.31437
6909,1611375101,16113751,2488,2488,2518,2518,hov2,125000,62500,1,2,2,2,ihvs,AM,0,82.7253112792969,60.60462
6918,1611375102,16113751,2488,2518,2488,2518,hov2,125000,62500,1,2,2,2,ihvs,PM,0,82.7253112792969,60.60462
7146,1611433301,16114333,2294,2294,2233,2233,hov2,87500,87500,0,3,3,3,ihvi,MD,0,90.2756729125977,68.0812
7491,1611521301,16115213,917,917,918,918,hov2,125000,62500,1,83,83,83,ihvs,AM,0,172.914352416992,126.67718
7540,1611526402,16115264,1189,1189,1192,1192,hov2,87500,43750,1,81,81,81,ihvs,AM,0,141.50505065918,106.71573
7736,1611574402,16115744,1249,1249,1127,1127,hov2,200000,100000,0,6,6,6,ihvs,AM,0,262.268646240234,233.43895
7952,1611611802,16116118,2416,2416,2409,2409,hov3,125000,125000,0,82,82,2,ihvs,AM,0,79.7955474853516,58.45827
8034,1611631102,16116311,2860,2860,2891,2891,hov3,87500,43750,1,83,83,84,ihvs,AM,0,375.324127197266,283.04987
8656,1611760202,16117602,1513,1513,1501,1501,hov2,200000,100000,0,2,2,2,ihvs,AM,0,139.482482910156,115.51344
8840,1611777902,16117779,2600,2600,2441,2441,hov2,125000,125000,0,2,2,2,ihvs,AM,0,74.769416809082,54.77613
9101,1611831301,16118313,477,477,501,501,hov3,200000,100000,0,7,7,7,ihvs,AM,0,99.8122634887695,73.12253
9129,1611834202,16118342,2065,2065,2459,2459,hov3,200000,100000,0,84,84,2,ihvs,NT,0,393.933319091797,326.23876
9840,1611967701,16119677,691,691,686,686,hov2,37500,37500,1,82,82,82,ilvs,MD,0,59.159309387207,45.50716
10122,1612031202,16120312,2739,2739,2734,2734,hov2,125000,41666.666666666664,1,82,82,82,ihvs,AM,0,238.860137939453,197.81378
10180,1612041301,16120413,2419,2419,578,578,hov2,200000,100000,0,82,82,1,ihvs,AM,0,84.2739410400391,72.02901
10282,1612057602,16120576,2440,2440,1827,1827,hov2,125000,62500,1,2,2,83,ihvs,NT,0,88.286247253418,64.67857
10422,1612088501,16120885,1255,1255,1207,1207,hov2,125000,62500,1,81,81,81,ihvs,AM,0,309.782379150391,200.42855
10438,1612089201,16120892,1998,1998,2034,2034,hov2,200000,200000,0,84,84,3,ihvs,AM,0,345.695526123047,286.29028
10889,1612163902,16121639,2647,2647,1466,1466,hov3,125000,62500,1,2,2,2,ihvs,NT,0,89.5795974731445,74.186
11160,1612228402,16122284,2,2,2225,2225,hov3,200000,100000,0,84,84,3,ihvs,AM,0,143.449935913086,105.09152
11435,1612285801,16122858,1505,1505,1621,1621,hov2,62500,31250,1,2,2,3,ilvs,AM,0,88.3756332397461,66.64829
11736,1612347201,16123472,536,2098,536,2098,hov2,125000,62500,1,7,3,7,ihvs,PM,0,97.4912414550781,71.42215
11743,1612349001,16123490,1798,1798,2670,2670,hov2,37500,37500,1,2,2,2,ilvs,AM,0,148.570785522461,114.28522
11829,1612367902,16123679,1439,1439,1496,1496,hov3,200000,100000,0,2,2,2,ihvs,AM,0,80.9589309692383,59.31057
11833,1612367902,16123679,1439,1439,1496,1496,sov,200000,100000,0,2,2,2,ihvs,PM,0,80.9589309692383,59.31057
11895,1612384201,16123842,2697,1460,2697,1460,hov3,125000,62500,1,83,2,83,ihvs,PM,0,101.263893127441,74.186
12090,1612417702,16124177,103,103,2376,2376,hov3,200000,100000,0,5,5,3,ihvs,AM,0,91.3523635864258,66.92481
12272,1612464701,16124647,2688,2688,2676,2676,hov3,125000,62500,1,83,83,82,ihvs,AM,0,101.263893127441,74.186
12762,1612573901,16125739,58,58,71,71,hov2,37500,37500,1,84,84,84,ilvi,AM,0,191.276275634766,166.32719
12854,1612600501,16126005,2596,2596,1421,1421,hov2,87500,43750,1,82,82,2,ihvs,AM,0,340.177764892578,290.00661
13155,1612671001,16126710,470,470,2569,2569,hov2,125000,62500,1,82,82,2,ihvs,AM,0,303.972869873047,251.73737
13172,1612671901,16126719,642,642,623,623,hov3,87500,43750,1,7,7,7,ihvs,AM,0,409.414855957031,349.03228
13380,1612719001,16127190,494,491,494,491,hov3,125000,62500,1,7,7,7,ihvs,PM,0,50.6934280395508,37.13804
13381,1612719002,16127190,494,494,491,491,hov3,125000,62500,1,7,7,7,ihvs,NT,0,50.6934280395508,37.13804
13649,1612779201,16127792,2427,2427,2429,2429,hov3,125000,62500,1,2,2,2,ihvs,AM,0,101.263893127441,74.186
13713,1612794601,16127946,1106,1106,2855,2855,hov3,37500,18750,1,83,83,83,ilvs,AM,0,84.666374206543,93.03998
